mode,n_features,max_depth,learning_rate,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,6,0.0001,300,21.84064370657995,19.001010398101485,22.3985291516228,19.824835156237043,0.15975980000030177
Calendar,1,6,0.001,300,21.21272518442025,18.586137551752103,21.828155837421722,19.429139519948116,0.15079160000004777
Calendar,1,6,0.01,300,20.301655473787054,18.011426108164486,21.11239587474297,18.8771791291588,0.16483870000001843
Calendar,1,6,0.1,300,20.297132740772675,18.005507703871043,21.122049062166514,18.877873867960236,0.1645451999997931
Calendar,1,6,1e-05,400,21.919645897849264,19.054451761908542,22.47147618928707,19.87518409655451,0.17770160000009128
Calendar,1,6,0.0001,400,21.811251537400345,18.981192343424784,22.37144751206561,19.80613948852747,0.19659950000004756
Calendar,1,6,0.001,400,21.050850658528198,18.48292812781112,21.685102692463207,19.327723506447718,0.1843103000001065
Calendar,1,6,0.01,400,20.297798197790158,18.007183190167407,21.117570442734785,18.877303101230414,0.1965513000000101
Calendar,1,6,0.1,400,20.297132740772675,18.005507703871043,21.122049062166514,18.877873867960236,0.21251699999993434
Calendar,1,6,1e-05,500,21.916517366601877,19.052339890933933,22.4685867367495,19.87320941448518,0.22617129999980534
Calendar,1,6,0.0001,500,21.782388118227896,18.961779368119196,22.344885579396543,19.78783409306921,0.21250469999995403
Calendar,1,6,0.001,500,20.917313355887636,18.39930496374097,21.568926586960384,19.244151119216642,0.20815249999986918
Calendar,1,6,0.01,500,20.297227224479894,18.006072310158245,21.120264266356433,18.877612967330265,0.22267889999966428
Calendar,1,6,0.1,500,20.297132740772675,18.005507703871043,21.122049062166514,18.877873867960236,0.2305783000001611
Calendar,1,6,1e-05,700,21.91026841064044,19.04812175857581,22.462816274490283,19.869266558561215,0.28398440000000846
Calendar,1,6,0.0001,700,21.726277972644944,18.92418287202497,22.29333384378043,19.752170189905353,0.28612310000016805
Calendar,1,6,0.001,700,20.71666807499684,18.27523321973908,21.39884247234551,19.11824990991486,0.30298569999968095
Calendar,1,6,0.01,700,20.297134581932248,18.00558254760291,21.121799169781724,18.877829922259963,0.314809299999979
Calendar,1,6,0.1,700,20.297132740772675,18.005507703871043,21.122049062166514,18.877873867960236,0.31649190000007366
Calendar,1,6,1e-05,1000,21.900915260371846,19.04181171525567,22.454181704406096,19.863360538646234,0.40237070000011954
Calendar,1,6,0.0001,1000,21.645961174600732,18.870558110889935,22.21974928846502,19.70109783721709,0.4026253000001816
Calendar,1,6,0.001,1000,20.530434962726705,18.160693619713932,21.24921754575384,19.006418533935435,0.38045389999979307
Calendar,1,6,0.01,1000,20.29713274861461,18.005502041867736,21.122030785715168,18.877856709097887,0.4165038999999524
Calendar,1,6,0.1,1000,20.297132740772675,18.005507703871043,21.122049062166514,18.877873867960236,0.4095477999999275
Calendar,1,9,1e-05,50,21.930619273258436,19.061854023722358,22.481608779209076,19.88210355122303,0.07679159999997864
Calendar,1,9,0.0001,50,21.916528509350915,19.052305237988758,22.468582567573932,19.873156444312993,0.07560319999993226
Calendar,1,9,0.001,50,21.781875059838757,18.961530360896692,22.344375227199777,19.78754544182,0.07135650000009264
Calendar,1,9,0.01,50,20.91078973542722,18.395664571617417,21.562561363123603,19.239516914737475,0.06846480000012889
Calendar,1,9,0.1,50,20.297178237162438,18.00589456164491,21.120595023247255,18.877561218141235,0.07040899999992689
Calendar,1,9,1e-05,100,21.929052199047653,19.06079425087347,22.480156139140185,19.881105280500872,0.100339200000235
Calendar,1,9,0.0001,100,21.901005039155713,19.041781427070426,22.454231813670837,19.863287031671003,0.09069550000003801
Calendar,1,9,0.001,100,21.644970252376698,18.870050215882614,22.218766880608868,19.700446174364274,0.09670440000036251
Calendar,1,9,0.01,100,20.5240185861905,18.157013707662497,21.242738990106712,19.001415050243224,0.08890300000030038
Calendar,1,9,0.1,100,20.2971327419571,18.005508078098362,21.122041951897508,18.8778705433713,0.09153609999975743
Calendar,1,9,1e-05,200,21.925920061662772,19.058675907482762,22.477252952190465,19.879110583035388,0.1300120999999308
Calendar,1,9,0.0001,200,21.870406689075637,19.021123424265955,22.425970871978432,19.843787702876195,0.13211020000017015
Calendar,1,9,0.001,200,21.406955218211046,18.712838038785815,22.002310129415097,19.550431423967932,0.15244720000009693
Calendar,1,9,0.01,200,20.327713705044445,18.03086379192244,21.113608826816236,18.887134076584726,0.14185150000002977
Calendar,1,9,0.1,200,20.297132740780864,18.005504122425908,21.1220473496669,18.877868767657226,0.14052609999998822
Calendar,1,9,1e-05,300,21.922790606617752,19.05655807753412,22.474352557059376,19.877116837144214,0.17290679999996428
Calendar,1,9,0.0001,300,21.84036130766214,19.000884828937547,22.398252486262862,19.8246830091837,0.18500300000005154
Calendar,1,9,0.001,300,21.210095216739102,18.58502028022847,21.825574635577755,19.427407997958273,0.18116309999959412
Calendar,1,9,0.01,300,20.301238520901286,18.011022781873766,21.11188260448291,18.87667154644152,0.17328310000038982
Calendar,1,9,0.1,300,20.297132740780864,18.005504122425908,21.1220473496669,18.877868767657226,0.17931380000027275
Calendar,1,9,1e-05,400,21.919669591440186,19.05444071280657,22.471459310373266,19.875122600376088,0.22814139999991312
Calendar,1,9,0.0001,400,21.81088609183825,18.98103110627024,22.371086704177145,19.805952867457894,0.23399139999992258
Calendar,1,9,0.001,400,21.047550985049945,18.48124704697764,21.681704319076175,19.32560387882887,0.2243188000002192
Calendar,1,9,0.01,400,20.297683812330465,18.007013105006166,21.117377796709988,18.877000146315748,0.22452290000001085
Calendar,1,9,0.1,400,20.297132740780864,18.005504122425908,21.1220473496669,18.877868767657226,0.23655469999994239
Calendar,1,9,1e-05,500,21.91655987818586,19.052323164294034,22.468575372560643,19.873128980003248,0.27610839999988457
Calendar,1,9,0.0001,500,21.781936985280907,18.96158744615386,22.34443971516134,19.787606353949872,0.2748071999999411
Calendar,1,9,0.001,500,20.913532547596894,18.397364431368203,21.56492872354501,19.241244265980274,0.2723654000001261
Calendar,1,9,0.01,500,20.297206651859938,18.006005956746943,21.120211020960173,18.877485770980023,0.2901502999998229
Calendar,1,9,0.1,500,20.297132740780864,18.005504122425908,21.1220473496669,18.877868767657226,0.26943279999977676
Calendar,1,9,1e-05,700,21.91034843606166,19.04809348254685,22.462815804184363,19.869148247472236,0.36217390000001615
Calendar,1,9,0.0001,700,21.7256535759586,18.923906688938654,22.29271707577937,19.75182766448987,0.36298089999991134
Calendar,1,9,0.001,700,20.712369276639894,18.27301884894618,21.39415833140903,19.114548512532146,0.3608555000000706
Calendar,1,9,0.01,700,20.297134072671007,18.00556997513694,21.121793430199983,18.877810886343475,0.40453989999969053
