mode,n_features,layers,learning_rate,epochs,batch_size,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,"[50, 50, 100]",0.0005,15,512,12.338874058028182,10.255687678358,17.48403918664092,14.160796028412264,9.89400219998788
Calendar,1,"[50, 50, 100]",1e-05,15,1024,40.043712445248836,36.18066152779504,47.852011026873974,45.4976014509435,7.131244100048207
Calendar,1,"[50, 50, 100]",5e-05,15,1024,12.663746240491783,10.360563667856022,18.940808774682758,15.467810897107132,7.321232600021176
Calendar,1,"[50, 50, 100]",0.0001,15,1024,12.532889084057,10.38539703159153,17.75798565914609,14.336195661472109,7.215898499940522
Calendar,1,"[50, 50, 100]",0.0005,15,1024,12.455889903851526,10.371770101531904,17.507783515550955,14.070562650694137,7.184543799958192
Calendar,1,"[50, 50, 100]",1e-05,15,2048,41.51932473170643,37.75535206278804,49.15546627016724,46.84390475097611,5.242768900003284
Calendar,1,"[50, 50, 100]",5e-05,15,2048,30.5945201989265,26.17482188802357,39.420577269799224,36.838198753833474,5.263357599964365
Calendar,1,"[50, 50, 100]",0.0001,15,2048,12.593451707793307,10.351304163296737,18.55271686477199,15.082036058543002,5.172234600060619
Calendar,1,"[50, 50, 100]",0.0005,15,2048,12.493458273094827,10.402805715176942,17.581469476805495,14.106492612499611,5.297022999962792
Calendar,1,"[50, 50, 100]",1e-05,20,256,12.675500151295012,10.354009422887946,19.046546174365044,15.595599939683519,16.305740399984643
Calendar,1,"[50, 50, 100]",5e-05,20,256,12.487824649234101,10.398109224384907,17.54387031836659,14.082805418119593,14.093920800019987
Calendar,1,"[50, 50, 100]",0.0001,20,256,12.439758642943145,10.342860101468569,17.612905366736012,14.185756268521029,14.727521399967372
Calendar,1,"[50, 50, 100]",0.0005,20,256,12.07231237877917,10.034311261769798,17.160746689001687,14.231379613324696,14.17107279994525
Calendar,1,"[50, 50, 100]",1e-05,20,512,30.510937838500276,26.073611434281922,39.341816900956786,36.74719719784907,12.566141000017524
Calendar,1,"[50, 50, 100]",5e-05,20,512,12.524751392129852,10.390787992941661,17.73486494770335,14.290604642958682,12.802321600029245
Calendar,1,"[50, 50, 100]",0.0001,20,512,12.486532423600865,10.383454968871565,17.663201347109542,14.195758216363064,12.621093799942173
Calendar,1,"[50, 50, 100]",0.0005,20,512,12.234194559761473,10.160196242952866,17.430135335615557,14.235569961645842,12.906329699908383
Calendar,1,"[50, 50, 100]",1e-05,20,1024,38.31241941324789,34.34636582121705,46.32121972735689,43.926857851801756,9.27388560003601
Calendar,1,"[50, 50, 100]",5e-05,20,1024,12.558785654913255,10.381621740871328,17.857017523481563,14.467434282502968,9.272273399983533
Calendar,1,"[50, 50, 100]",0.0001,20,1024,12.5105287943693,10.393626743402244,17.686593988006894,14.225721184127197,9.250343499938026
Calendar,1,"[50, 50, 100]",0.0005,20,1024,12.411451886632676,10.293264430311142,17.808849369155656,14.397884647475646,9.166115599917248
Calendar,1,"[50, 50, 100]",1e-05,20,2048,40.93193725243121,37.12854346185562,48.63690569155829,46.308139393561646,6.44516460003797
Calendar,1,"[50, 50, 100]",5e-05,20,2048,22.187848473102576,17.71325584429679,31.57967821636249,28.701653770117325,6.424749800004065
Calendar,1,"[50, 50, 100]",0.0001,20,2048,12.55162083363853,10.389275783880846,17.805500664564075,14.393601167108242,6.403572299983352
Calendar,1,"[50, 50, 100]",0.0005,20,2048,12.476099943001763,10.383646115027107,17.589183123030608,14.12893175843499,6.426178799942136
Calendar,1,"[50, 100, 50]",1e-05,5,256,38.04196337230232,34.08890271386145,46.08667129868119,43.705627942898225,4.778884599916637
Calendar,1,"[50, 100, 50]",5e-05,5,256,12.603842738434034,10.388438294780872,17.991266910871513,14.64750526817729,4.772276600007899
Calendar,1,"[50, 100, 50]",0.0001,5,256,12.524784058732482,10.381707600554698,17.622060668041414,14.244418004075712,4.819561699987389
Calendar,1,"[50, 100, 50]",0.0005,5,256,12.452319681713815,10.410524953624668,17.042969092794372,13.667562294111438,4.8542849000077695
Calendar,1,"[50, 100, 50]",1e-05,5,512,40.872601444686154,37.08850341069052,48.58816876628851,46.273374075272635,4.692832499975339
Calendar,1,"[50, 100, 50]",5e-05,5,512,21.543378705553565,17.200443983636855,30.993224472626554,28.19207173762825,7.583542099921033
Calendar,1,"[50, 100, 50]",0.0001,5,512,12.598270676386498,10.391547508412472,17.92286468339619,14.57821349208364,4.874133799923584
Calendar,1,"[50, 100, 50]",0.0005,5,512,12.476619758764972,10.370154922791627,17.699754180651173,14.236681504084897,4.893200500053354
Calendar,1,"[50, 100, 50]",1e-05,5,1024,42.03864960314142,38.32671795343142,49.616227004200056,47.331784854459464,4.082845600089058
Calendar,1,"[50, 100, 50]",5e-05,5,1024,37.44983391974615,33.45901362896366,45.56144943147778,43.16527270972335,4.025259900023229
Calendar,1,"[50, 100, 50]",0.0001,5,1024,21.47690482347161,17.13852768820586,30.927108240671817,28.122759013625092,3.915402700076811
Calendar,1,"[50, 100, 50]",0.0005,5,1024,12.492105782297328,10.360741523920257,17.742375244087132,14.317098872781342,3.8760027000680566
Calendar,1,"[50, 100, 50]",1e-05,5,2048,42.56367018261116,38.86782709117418,50.076157683176135,47.7946349618807,3.0301629999885336
Calendar,1,"[50, 100, 50]",5e-05,5,2048,40.52290030526824,36.71460560814728,48.279178334380745,45.953707285954636,3.034066200023517
Calendar,1,"[50, 100, 50]",0.0001,5,2048,36.89005878380635,32.86994976463656,45.06527937052758,42.6594516979916,3.0279853000538424
Calendar,1,"[50, 100, 50]",0.0005,5,2048,12.582779327945202,10.343210174606766,18.41982620121641,15.013228345058934,3.0996253000339493
Calendar,1,"[50, 100, 50]",1e-05,10,256,29.25243048543648,24.889455417057484,38.23102528042855,35.702525340180166,8.165960000013001
Calendar,1,"[50, 100, 50]",5e-05,10,256,12.53472266206654,10.354510760705086,17.96371737774124,14.568375258103645,8.055749999941327
Calendar,1,"[50, 100, 50]",0.0001,10,256,12.488735027043383,10.34600331988709,17.97423629515366,14.5038977690752,7.994525599991903
Calendar,1,"[50, 100, 50]",0.0005,10,256,12.269901888423842,10.203451957931913,17.365419722260516,14.115309368895007,8.120095399906859
Calendar,1,"[50, 100, 50]",1e-05,10,512,38.572882296209244,34.65346239767239,46.55703857115629,44.189492787002436,7.701594400103204
Calendar,1,"[50, 100, 50]",5e-05,10,512,12.646320370055722,10.407856315104837,18.040112629512986,14.733288308930085,7.743920500040986
Calendar,1,"[50, 100, 50]",0.0001,10,512,12.529193053645871,10.37425575403666,17.755187904989814,14.360716286010216,7.66742549999617
Calendar,1,"[50, 100, 50]",0.0005,10,512,12.423112077195576,10.332219131312312,17.56843829834891,14.155504742938746,7.6233454999746755
Calendar,1,"[50, 100, 50]",1e-05,10,1024,41.07203337467392,37.296791764121565,48.76354676123692,46.45154039707554,6.070454300031997
Calendar,1,"[50, 100, 50]",5e-05,10,1024,21.350067601095873,17.037503820186846,30.809084567782143,28.016952754875827,5.990790099953301
Calendar,1,"[50, 100, 50]",0.0001,10,1024,12.63005451816015,10.402447039360013,17.998000907292493,14.675377408957477,5.976335000013933
Calendar,1,"[50, 100, 50]",0.0005,10,1024,12.47125421928525,10.383247221856768,17.536792529862794,14.087019622392955,6.086427600006573
Calendar,1,"[50, 100, 50]",1e-05,10,2048,42.12295002630799,38.40524344292943,49.6888003296567,47.39917373848906,4.415267299977131
Calendar,1,"[50, 100, 50]",5e-05,10,2048,36.29834734420481,32.23138542300053,44.53766627179122,42.11040682508608,4.384775500046089
Calendar,1,"[50, 100, 50]",0.0001,10,2048,21.283000552198292,16.928645139354064,30.72123379438258,27.87078569663681,7.579769200063311
Calendar,1,"[50, 100, 50]",0.0005,10,2048,12.494122349616225,10.380635796224254,17.68324757949506,14.228516182610592,4.817635599989444
Calendar,1,"[50, 100, 50]",1e-05,15,256,16.87947168374986,13.182805847454004,26.086368905017647,23.00874737490385,13.500627300003543
Calendar,1,"[50, 100, 50]",5e-05,15,256,12.492419677084655,10.36500462310735,17.793599985845855,14.339285810683547,13.200614799978212
Calendar,1,"[50, 100, 50]",0.0001,15,256,12.466238343447523,10.371691891519008,17.606172380168452,14.153338290307083,13.231571699958295
